"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","BI0Dve","yYlJEf href","QuU3Wb","yYlJEf href 2","QuU3Wb 2","rllt__details 4","uDyWh"
"Selva Pet Clinic","· Veterinarian","4.0","(106)","7+ years in business · 22M4+PFV · 098431 16537","Closed","","","","https://www.google.com/maps/dir//22M4%2BPFV+Selva+Pet+Clinic,+Peelamedu,+Sengaliappa+Nagar,+Tamil+Nadu+641004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba858210d690e55:0xe2a076a84ddac746?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""They were so kind and took good care of my cat"""
"FRONTIER PET CLINIC","· Animal hospital","4.9","(129)","Sulur, Tamil Nadu · 090424 67768","Closed","","","","https://www.google.com/maps/dir//FRONTIER+PET+CLINIC,+521%2F33,+Sulur,+Tamil+Nadu+641402/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85505b40255c5:0x335856d3b728d46d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 11 am Mon","""Excellent care and friendly and kind staff and service is good✨"""
"LRML Pet clinic","· Veterinarian","4.6","(14)","3+ years in business · 099521 30595","Closed","","","","","","· Opens 6 pm Mon","""Such a nice doctors...Service minded..clinic is neat and good..."""
"RR Pet Clinic & Pet Shop","· Veterinarian","4.5","(118)","7+ years in business · Sarathi Street, Take the Left-turn on Trichy Road in between Opus-rKid and Triken, 15, Coimbatore - Trichy Rd, opposite to Shanthi Social Services · 086101 50740","Closed","On-site services not available","https://www.instagram.com/rrpetclinicandpetshop?igsh=MTJqcjBhcnU2c3RoMw==","Website","https://www.google.com/maps/dir//RR+Pet+Clinic+%26+Pet+Shop,+Sarathi+Street,+Take+the+Left-turn+on+Trichy+Road+in+between+Opus-rKid+and+Triken,+15,+Coimbatore+-+Trichy+Rd,+opposite+to+Shanthi+Social+Services,+Singanallur,+Coimbatore,+Tamil+Nadu+641005/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8577e83cb4bc9:0x86eba2790a4717a3?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Government Veterinary Hospital,Kovilpalayam","· Animal hospital","1.0","(1)","3+ years in business · 42PM+898, Wednesday Market Rd, opposite to Union office","","","","","https://www.google.com/maps/dir//42PM%2B898+Government+Veterinary+Hospital,Kovilpalayam,+Wednesday+Market+Rd,+opposite+to+Union+office,+Kovilpalayam,+641107/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f9ce2e2d6c07:0xa5c11476a2de1269?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital","· Veterinary pharmacy","5.0","(3)","QW8F+6GQ","Open 24 hours","","","","https://www.google.com/maps/dir//QW8F%2B6GQ+Veterinary+Hospital,+Zamin+Kaliyapuram,+Tamil+Nadu+642110/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8478b68a74f51:0x1e70f25c46c215f0?sa=X&ved=1t:57443&ictx=111","Directions","","""Nice hospital and Nice area"""
"Barks and Meows Pet Clinic","· Veterinarian","4.8","(69)","Kovaipudur, Tamil Nadu · 088381 21210","Closed","","","","https://www.google.com/maps/dir//Barks+and+Meows+Pet+Clinic,+X-29,+X+Block,+NRCC+House,+Kovaipudur,+Tamil+Nadu+641042/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85b65f5023347:0xcbabca4ef321a4fe?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""Dr. Chakravarthy and assistant Ms. Biji took amazing care of my dog."""
"Sri Vinayaga Pets Clinic","· Veterinarian","4.6","(16)","6-1, 7, 1, Sowripalayam Rd · 096777 95334","Closed","","","","https://www.google.com/maps/dir//6-1,+7,+Sri+Vinayaga+Pets+Clinic,+1,+Sowripalayam+Rd,+Ramanathapuram,+Tamil+Nadu+641045/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859a71663511f:0xae681468f979f7ba?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Thanks to the Doctor for their genuine care & effort to help our pet."""
"GOVERNMENT VETERINARY HOSPITAL , kinathukadavu","· Hospital","4.7","(7)","R299+57X, National Highway 209","","","","","https://www.google.com/maps/dir//R299%2B57X+GOVERNMENT+VETERINARY+HOSPITAL+,+kinathukadavu,+National+Highway+209,+Kinathukadavu,+Tamil+Nadu+642109/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba84f4fd8a396f9:0x2b3ee31d9cf92f0a?sa=X&ved=1t:57443&ictx=111","Directions","","""Are  pet Dog suffering from parvovirus they helped thank you"""
"Government Veterinary Hospital","· Hospital","4.3","(6)","Vellalore, Tamil Nadu","· Opens 12 am Mon","","","","https://www.google.com/maps/dir//X28G%2B72P+Government+Veterinary+Hospital,+Kanjikonaampalayam,+Vellalore,+Tamil+Nadu+641111/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba851e1dd252f5b:0x6a1e6016a265cb0c?sa=X&ved=1t:57443&ictx=111","","Closed","""The doctor’s response and treatment were excellent 👍."""
"CANIS & FELIS PET HOSPITAL","· Veterinarian","4.8","(22)","oppt to Anandhaas Hotel, 220/335, Pollachi Main Rd · 073585 42427","Closed","On-site services","","","https://www.google.com/maps/dir//CANIS+%26+FELIS+PET+HOSPITAL,+oppt+to+Anandhaas+Hotel,+220%2F335,+Pollachi+Main+Rd,+sundarapuram,+Kurichi,+Coimbatore,+Tamil+Nadu+641024/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85b5fa92b526d:0x47681201dc74e0a2?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Karamadai veterinary Hospital","· Veterinary care","3.8","(21)","10+ years in business · 6XQ7+8QG, KNP Rd","","","","","https://www.google.com/maps/dir//6XQ7%2B8QG+Karamadai+veterinary+Hospital,+KNP+Rd,+Karamadai,+Tamil+Nadu+641104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8efd4d3e86d2d:0x423eee5c73b924db?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Veterinary Hospital","· Animal hospital","4.0","(25)","10+ years in business · 24HC+4GF","Closed","","","","https://www.google.com/maps/dir//24HC%2B4GF+Veterinary+Hospital,+Sulur,+Tamil+Nadu+641402/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba855c95314d3cb:0x52133dd832329d75?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon","""Friendly doctor and free service"""
"Lucky Paws Veterinary Hospital","· Veterinarian","4.6","(1.3K)","5+ years in business · Bengaluru, Karnataka · 077955 21938","Open 24 hours","On-site services","https://luckypawsveterinaryhospital.net/","Website","https://www.google.com/maps/dir//Lucky+Paws+Veterinary+Hospital,+No+294,+Ground+Floor,+S4+Square,+Near+A2B+And+Leon+Grill+1st+Cross,+Neeladri+Rd,+Electronic+City+Phase+I,+Electronic+City,+Bengaluru,+Karnataka+560100/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae6bf1c21e95cb:0x6be3453f05154928?sa=X&ved=1t:57443&ictx=111","Directions","",""
"A-Z Pet Polyclinic & Scan Centre","· Veterinarian","4.5","(102)","20+ years in business · 106A, Jaganathan Colony · 095006 48555","Closed","On-site services","","","https://www.google.com/maps/dir//A-Z+Pet+Polyclinic+%26+Scan+Centre,+106A,+Jaganathan+Colony,+Peelamedu,+Masakalipalayam,+Coimbatore,+Tamil+Nadu+641004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8582d4a3cc977:0xeddfabe0a81a1b1e?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"PeriyanaickenPalayamGovernment veterinary hospital","· Hospital","2.1","(12)","5W6W+4GC","Closed","","","","https://www.google.com/maps/dir//5W6W%2B4GC+PeriyanaickenPalayamGovernment+veterinary+hospital,+Periyanaickenpalayam,+Tamil+Nadu+641020/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f18e5d98f695:0xfe93ea3c18255e9a?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Polite attitude, especially Dr. Selvarani's service in amazing"""
"Vee. K Pet Clinic","· Hospital","5.0","(1)","4W7P+FF6 · 099654 78085","Closed","","","","https://www.google.com/maps/dir//4W7P%2BFF6+Vee.+K+Pet+Clinic,+Narasimhanaickenpalayam,+Tamil+Nadu+641031/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f7d2ae374779:0x604993ae04d4e66c?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon",""
"Government Veterinary Clinic - Arasur","· Animal hospital","4.0","(2)","Arasur, Tamil Nadu","","","","","https://www.google.com/maps/dir//34P6%2BF2F+Government+Veterinary+Clinic+-+Arasur,+Arasur,+Tamil+Nadu+641407/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8ff005382aaad:0xd296e2899a2655de?sa=X&ved=1t:57443&ictx=111","Directions","","""peoples change like weather"""
"Government Veterinary Dispensary Ramanathapuram Coimbatoree","· Hospital","4.0","(4)","XXGV+28X, Perumal Kovil St","Closed","","","","https://www.google.com/maps/dir//XXGV%2B28X+Government+Veterinary+Dispensary+Ramanathapuram+Coimbatoree,+Perumal+Kovil+St,+west+pudur+Nanjundapuram,+Coimbatore,+Tamil+Nadu+641036/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8594a6f2410bb:0xe791eaea75623253?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon",""
"S.N. Pet Clinic","· Veterinarian","3.7","(33)","10+ years in business · 2W83+W75, Siruvani Rd · 098422 38005","Closed","","","","https://www.google.com/maps/dir//2W83%2BW75+S.N.+Pet+Clinic,+Siruvani+Rd,+Vembu+Avenue,+Senniveerampalayam,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85f31e508c867:0x72624f6e9fada91c?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Doctor is very polite and charges a nominal fee."""
"Government Veterinary hospital,Karadivavi","· Veterinary care","4.1","(11)","10+ years in business · Karadivavi, Tamil Nadu","","","","","https://www.google.com/maps/dir//X57Q%2BVR6+Government+Veterinary+hospital,Karadivavi,+SH+163,+Karadivavi,+Tamil+Nadu+641658/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8534c301d5d2d:0x8acc0985b034c335?sa=X&ved=1t:57443&ictx=111","Directions","","""Very super treatment for DOGS"""
"Lyka Multi Speciality Pet Hospital Coimbatore","· Animal hospital","","","5, Fire Station Rd · 096779 73261","Closed","","http://www.lykapetclinic.com/","Website","https://www.google.com/maps/dir//Lyka+Multi+Speciality+Pet+Hospital+Coimbatore,+5,+Fire+Station+Rd,+VOC+Nagar,+Raja+Nagar,+Coimbatore,+Tamil+Nadu+641006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8590069311671:0xf5969247166b445f?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Govt Veterinary Hospital,Vadavalli","· Hospital","","","2WH2+GVM, Mouthi Hospital Rd","","","","","https://www.google.com/maps/dir//2WH2%2BGVM+Govt+Veterinary+Hospital,Vadavalli,+Mouthi+Hospital+Rd,+Periyar+Nagar,+IOB+Colony,+Coimbatore,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85f23bf9f75e5:0x89de0fd425eabd8?sa=X&ved=1t:57443&ictx=111","Directions","",""
"RAINBOW PETS CLINIC","· Veterinarian","4.7","(37)","Kumaran Garden, pirivu, opposite to South Zone corporation office · 080563 80409","Closed","","","","https://www.google.com/maps/dir//RAINBOW+PETS+CLINIC,+Kumaran+Garden,+pirivu,+opposite+to+South+Zone+corporation+office,+Edayarpalayam,+Kuniyamuthur,+Tamil+Nadu+641008/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85b4e73c67fe3:0x2e90d41672929644?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 6 pm Mon","""Pet friendly environment…good staff and pocket friendly service ….’"""
"Govt Veterinary Dispensary Madampatti","· Hospital","4.0","(4)","XVC6+Q8W","","","","","https://www.google.com/maps/dir//XVC6%2BQ8W+Govt+Veterinary+Dispensary+Madampatti,+Madampatti,+Tamil+Nadu+641010/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85fed08e728f5:0x14f298fe24a55911?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Lucky Paws Veterinary Hospital, Budigere Cross Branch (Multi Specialty Pet Hospital)","· Veterinarian","4.9","(107)","Bommenahalli, Bengaluru, Karnataka · 083174 91065","Open 24 hours","On-site services","http://luckypawsveterinaryhospital.net/","Website","https://www.google.com/maps/dir//Lucky+Paws+Veterinary+Hospital,+Budigere+Cross+Branch+(Multi+Specialty+Pet+Hospital),+Apartments,+135%2F4,+opposite+to+Brigade+Buena+vista,+off+Old+Madras+Road,+Budigere+Cross,+Bommenahalli,+Bengaluru,+Karnataka+560049/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae1112402cc2d5:0x325a040e4a128ee9?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Government Veterinary hospital,Pappampatti","· Hospital","2.0","(4)","X452+9C6, SH 163","","","","","https://www.google.com/maps/dir//X452%2B9C6+Government+Veterinary+hospital,Pappampatti,+SH+163,+Pappampatti,+Tamil+Nadu+641016/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8515f49e3389d:0x256a11e2d39e6d5d?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Govt Veterinary hospital,L Kovilpalayam","· Hospital","5.0","(2)","Kovilpalayam, Tamil Nadu","","","","","https://www.google.com/maps/dir//8433%2B55Q+Govt+Veterinary+hospital,L+Kovilpalayam,+Kovilpalayam,+Tamil+Nadu+638459/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8e3004aaa5f39:0xb3e02dd05e2ac327?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Hope Veterinary Clinic","· Veterinarian","4.8","(13)","4/9, Mahalaxmi Kovil Street · 099604 69678","Closed","","","","https://www.google.com/maps/dir//Hope+Veterinary+Clinic,+4%2F9,+Mahalaxmi+Kovil+Street,+Extension+road,+Masakalipalayam,+Uppilipalayam,+Coimbatore,+Tamil+Nadu+641015/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8579abd688e3f:0xa087f60b2376c290?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10:30 am Mon","""They handled my pet with so much patience and compassion."""
"JM PET CLINIC","· Emergency veterinarian service","3.0","(16)","54/1 VEERAPANDI PIRIVU, POST · 090802 41394","· Opens 9:30 am Mon","","","Schedule","https://www.google.com/maps/dir//JM+PET+CLINIC,+54%2F1+VEERAPANDI+PIRIVU,+POST,+Jothipuram,+Coimbatore,+Tamil+Nadu+641047/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f1746eb99d25:0x35f2348ca55a33d0?sa=X&ved=1t:57443&ictx=111","","Closed","""Excellent doctor!"""
"ROYAL ANIMAL HOSPITAL TIRUPPUR","· Animal hospital","4.5","(495)","7+ years in business · Tiruppur, Tamil Nadu · 078268 23777","Closed","","","","https://www.google.com/maps/dir//ROYAL+ANIMAL+HOSPITAL+TIRUPPUR,+7%2F2,+KRR+Layout,+I+st+Street,+Opp+to+Diamond+theatre,+Near+Sankara+Hospital,+Karuvampalayam,+Tiruppur,+Tamil+Nadu+641604/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba907a32e7e4fc9:0x96f1485ede3a69e7?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Good service, reasonable service charge, good in caring tha pets."""
"Government Veterinary hospital,Ganesapuram. கால்நடை மருத்துவமனை கணேசபுரம்","· Hospital","5.0","(1)","53G2+8V7","Closed","","","","https://www.google.com/maps/dir//53G2%2B8V7+Government+Veterinary+hospital,Ganesapuram.+%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AF%8D%E0%AE%A8%E0%AE%9F%E0%AF%88+%E0%AE%AE%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%81%E0%AE%B5%E0%AE%AE%E0%AE%A9%E0%AF%88+%E0%AE%95%E0%AE%A3%E0%AF%87%E0%AE%9A%E0%AE%AA%E0%AF%81%E0%AE%B0%E0%AE%AE%E0%AF%8D,+Ganeshapuram,+Tamil+Nadu+641107/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8fb501e582f79:0x1fbbac157248a83b?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
"Veterinary Hospital","· Veterinary pharmacy","3.7","(7)","5RJM+MR7","","","","","https://www.google.com/maps/dir//5RJM%2BMR7+Veterinary+Hospital,+Tholampalayam,+Tamil+Nadu+641113/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f3291d9bac55:0x7bfb431655eb001?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Dr.Meytiruannal","· Veterinarian","4.6","(15)","7+ years in business · 100, Abbas Gardens Rd","Closed","","","","https://www.google.com/maps/dir//Dr.Meytiruannal,+100,+Abbas+Gardens+Rd,+Lakshmi+Nagar,+Edayarpalayam,+Coimbatore,+Tamil+Nadu+641025/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba858ad4dd33e81:0x8bdc6df951ea9638?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 8 am Mon","""Nice doctor with good experience treatment, he takes care of all the pets"""
"Sana Animal Hospital","· Animal hospital","4.6","(112)","5+ years in business · No.17/114-A, R.N.R Complex, Main Road, near 5k Car Care · 099408 63813","Closed","","https://sites.google.com/view/sanaanimalhospital/home","Website","https://www.google.com/maps/dir//No.17%2F114-A,+Sana+Animal+Hospital,+R.N.R+Complex,+Main+Road,+near+5k+Car+Care,+Coimbatore,+Karumathampatti,+Tamil+Nadu+641659/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8ff99e0a45e2b:0xa254b13d60878c3?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9:30 am Mon","""Experienced worked, good hospital, economic friendly"""
"VETTREE HEALTH CARE","· Veterinary care","","","5+ years in business · 76, 1st Floor, 8th Street, Cross Cut Rd · 094426 27903","","","http://www.vettree.in/","Website","https://www.google.com/maps/dir//VETTREE+HEALTH+CARE,+76,+1st+Floor,+8th+Street,+Cross+Cut+Rd,+Coimbatore,+Tamil+Nadu+641012/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85856a781ba19:0x99f99e500338dbe6?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Siruvani Pet Clinic","· Veterinarian","5.0","(8)","Sri Village Nagar, Sathy Rd · 084388 41667","Closed","","","","https://www.google.com/maps/dir//Siruvani+Pet+Clinic,+Sri+Village+Nagar,+Sathy+Rd,+Kurumbapalayam+SSKulam,+Coimbatore,+Tamil+Nadu+641107/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f9546c4610af:0x3cec647fec2a134d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Has helped with treatment on many critical occasions."""
"Veterinary Hospital","· Animal hospital","3.8","(50)","7+ years in business · Avinashi, Tamil Nadu","","","","","https://www.google.com/maps/dir//57R6%2BPVV+Veterinary+Hospital,+Avinashi,+Tamil+Nadu+641654/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba903bd61a51b83:0x9b914217f860d341?sa=X&ved=1t:57443&ictx=111","Directions","","""Very very use good vednery docter"""
"VIJAY PET CLINIC","· Veterinarian","","","Vijay medicals, 3 BEHAIND, Marudhamalai Rd","Closed","","","","https://www.google.com/maps/dir//VIJAY+PET+CLINIC,+Vijay+medicals,+3+BEHAIND,+Marudhamalai+Rd,+VADAVALLI,+Coimbatore,+Tamil+Nadu+641041/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba85fc4daab6515:0x4c1942280ff0e04d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 6 pm Mon",""
"Bangalore Pet Hospital","· Animal hospital","4.3","(4.6K)","25+ years in business · Bengaluru, Karnataka · 072597 82425","Open 24 hours","On-site services","http://www.bangalorepethospital.com/","Website","https://www.google.com/maps/dir//Bangalore+Pet+Hospital,+Varthur+Main+Rd,+Patel+Narayanswamy+Layout,+Siddapura,+Whitefield,+Bengaluru,+Karnataka+560066/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae123e9c3a3749:0xbb7865b6468a0374?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Government veterinary hospital","· Hospital","","","5X7X+G92","","","","","https://www.google.com/maps/dir//5X7X%2BG92+Government+veterinary+hospital,+Vellamadai,+Tamil+Nadu+641110/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8f1e0c5e2054b:0xd556315253f8d377?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Govt Veterinary hospital,Annur","· Government hospital","3.0","(1)","Annur, Tamil Nadu","","","","","https://www.google.com/maps/dir//63HX%2BJ6P+Govt+Veterinary+hospital,Annur,+Annur,+Tamil+Nadu+641653/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8fb0037136335:0x16e81d09b29a20f3?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Poolampara Vetnary Hospital","· Veterinary care","3.8","(13)","10+ years in business · Pudussery East, Kerala","","","","","https://www.google.com/maps/dir//RRFG%2B3CG+Poolampara+Vetnary+Hospital,+Pudussery+East,+Kerala+678624/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba84278806c03fd:0xa4e3861dbecbdc1c?sa=X&ved=1t:57443&ictx=111","Directions","",""
"RMV MULTI-SPECIALITY VETERINARY CLINIC","· Animal hospital","4.3","(1.8K)","30+ years in business · Bengaluru, Karnataka · 097398 00026","Open 24 hours","On-site services","http://www.rmvveterinary.in/","Website","https://www.google.com/maps/dir//RMV+MULTI-SPECIALITY+VETERINARY+CLINIC,+No.+318,+2nd+cross,+2nd+Main+Rd,+R.M.V.+2nd+Stage,+Bengaluru,+Karnataka+560094/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae17e115395bf1:0x305e401785760acc?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Cessna Lifeline Veterinary Hospital - Domlur","· Veterinarian","4.4","(8.1K)","20+ years in business · Bengaluru, Karnataka · 076763 65365","Open 24 hours","On-site services","https://www.cessnalifeline.com/","Website","https://www.google.com/maps/dir//Cessna+Lifeline+Veterinary+Hospital+-+Domlur,+HBCS,+148,+KGA+Rd,+Amarjyoti+Layout,+Domlur,+Bengaluru,+Karnataka+560071/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae16b02658fb3f:0x32d69ed796d7b024?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Govt Veterinary hospital,Valukkuparai","· Government hospital","","","RXV9+648, Valukkuparai Rd","","","","","https://www.google.com/maps/dir//RXV9%2B648+Govt+Veterinary+hospital,Valukkuparai,+Valukkuparai+Rd,+Tamil+Nadu+641032/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba845002013f433:0x34142eb3a003014e?sa=X&ved=1t:57443&ictx=111","Directions","",""
"R.S HOSPITAL","· Hospital","3.3","(288)","Sambandam Rd E · 089037 01999","Open 24 hours","","","","https://www.google.com/maps/dir//R.S+HOSPITAL,+Sambandam+Rd+E,+Sukrawar+Pettai,+R.S.+Puram,+Coimbatore,+Tamil+Nadu+641002/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859036dd8502b:0x75701c7eefe06216?sa=X&ved=1t:57443&ictx=111","Directions","","""Good doctors and very pleasing affordable cost"""
"Govt: Veterinary Dispensary","· Animal hospital","3.3","(23)","10+ years in business · Kanjikode, Kerala","","","","","https://www.google.com/maps/dir//QPWW%2BMJJ+Govt:+Veterinary+Dispensary,+Kanjikode+Rd,+Sathrapadi,+Kanjikode,+Kerala+678621/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba86945736dbf15:0x98c05b2177ac17cf?sa=X&ved=1t:57443&ictx=111","Directions","","""Good service received for my pet"""
"Veterinary Healthcare Company (VETHC) - Coimbatore","· Diagnostic center","4.2","(5)","Swamy Iyer New Street · 075500 60900","Closed","","http://www.vethc.in/","Website","https://www.google.com/maps/dir//Veterinary+Healthcare+Company+(VETHC)+-+Coimbatore,+Swamy+Iyer+New+Street,+Katteri+Chettiar+Thottam,+Selvapuram+North,+Coimbatore,+Tamil+Nadu+641001/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba859e16544e7df:0xe51dc7803600ab26?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9:30 am Mon","""Best laboratory for quick and perfect reports."""
"தமிழ்நாடு அரசு கால்நடை மருந்தகம் Government Veterinary hospital","· Veterinary pharmacy","5.0","(2)","Jakkarpalayam, Tamil Nadu","","","","","https://www.google.com/maps/dir//Q4MP%2B8W+%E0%AE%A4%E0%AE%AE%E0%AE%BF%E0%AE%B4%E0%AF%8D%E0%AE%A8%E0%AE%BE%E0%AE%9F%E0%AF%81+%E0%AE%85%E0%AE%B0%E0%AE%9A%E0%AF%81+%E0%AE%95%E0%AE%BE%E0%AE%B2%E0%AF%8D%E0%AE%A8%E0%AE%9F%E0%AF%88+%E0%AE%AE%E0%AE%B0%E0%AF%81%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%95%E0%AE%AE%E0%AF%8D+Government+Veterinary+hospital,+Jakkarpalayam,+Tamil+Nadu+642202/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba84b00166eff9f:0xab9d08a441fe6efe?sa=X&ved=1t:57443&ictx=111","","",""
"Government veterinary hospital","· Hospital","5.0","(2)","12/144-3","","","","","https://www.google.com/maps/dir//Government+veterinary+hospital,+12%2F144-3,+Vishal+Hii+Tech+City,+Pollachi,+Tamil+Nadu+642003/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8370f235ae6d5:0xd1232f39fdead772?sa=X&ved=1t:57443&ictx=111","Directions","",""
"Arthi Pets Clinic","· Veterinarian","3.6","(15)","3+ years in business · 87 · 098422 74514","Closed","","","","https://www.google.com/maps/dir//Arthi+Pets+Clinic,+87,+Sakkarai+Chetiyar+Colony,+Varadharajapuram,+Tamil+Nadu+641015/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba8572c725d528b:0x6e7f0f9755c7d0fa?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon","""Good service by Doctor."""
"Veterinary hospital Bogampatti","· Animal hospital","4.0","(2)","7+ years in business · W43C+GWC, Bogampatti - Panapatti Rd","Closed","","","","https://www.google.com/maps/dir//W43C%2BGWC+Veterinary+hospital+Bogampatti,+Bogampatti+-+Panapatti+Rd,+Bogampatti,+Tamil+Nadu+641658/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba852139b5d1fc7:0xffb05add7fcd3cb0?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 10 am Mon",""
"SKS VETERINARY HOSPITAL","· Animal hospital","4.3","(274)","7+ years in business · Tiruppur, Tamil Nadu · 086800 70005","Closed","On-site services","https://www.skspethospital.com/","Website","https://www.google.com/maps/dir//SKS+VETERINARY+HOSPITAL,+145%2F75,+College+Rd,+Odakkadu,+Tiruppur,+Tamil+Nadu+641602/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3ba90790161eb60b:0x6a084df3f43b583d?sa=X&ved=1t:57443&ictx=111","Directions","· Opens 9 am Mon",""
